"PropertyID","Address","Type","MarketValue","SqFt","VacancyRate","LastSoldYear"
"PROP-1","5861 Main St, Miami, FL","Office","6762987","29277","33","2012"
"PROP-2","9543 Main St, Miami, FL","Industrial","5373446","23062","16","2022"
"PROP-3","9349 Main St, Miami, FL","Multi-Family","2208490","8210","13","2019"
"PROP-4","4389 Main St, Miami, FL","Retail","5504268","17094","26","2020"
"PROP-5","789 Main St, Miami, FL","Retail","5414040","15039","13","2022"
"PROP-6","5658 Main St, Miami, FL","Industrial","1200418","5242","21","2017"
"PROP-7","1407 Main St, Miami, FL","Office","1842048","5248","18","2013"
"PROP-8","3527 Main St, Miami, FL","Industrial","3489500","19940","22","2012"
"PROP-9","5793 Main St, Miami, FL","Office","5052519","33023","22","2015"
"PROP-10","7867 Main St, Miami, FL","Industrial","6761047","18833","39","2018"
"PROP-11","2252 Main St, Miami, FL","Industrial","8242640","40208","33","2012"
"PROP-12","570 Main St, Miami, FL","Office","8398200","41991","11","2021"
"PROP-13","1172 Main St, Miami, FL","Multi-Family","833196","3822","9","2016"
"PROP-14","7680 Main St, Miami, FL","Retail","8839500","24900","29","2010"
"PROP-15","6161 Main St, Miami, FL","Office","1829548","5054","39","2021"
"PROP-16","6922 Main St, Miami, FL","Multi-Family","9127742","41302","10","2014"
"PROP-17","3081 Main St, Miami, FL","Industrial","392971","2503","10","2021"
"PROP-18","7103 Main St, Miami, FL","Retail","3966432","12552","4","2012"
"PROP-19","2938 Main St, Miami, FL","Retail","5856444","23148","18","2010"
"PROP-20","972 Main St, Miami, FL","Multi-Family","729622","4099","37","2017"
